date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:32:40	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Feb%202021%2015:38:46%20GMT	http://www.scrapbuyerss.com/robots.txt		(from )
20:32:42	139536/139536	---MCZ	200	added ('OK')	text/html	date:Wed,%2030%20Jun%202021%2016:22:34%20GMT	http://www.scrapbuyerss.com/	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/index.html	(from )
20:32:42	561/561	---M--	200	added ('OK')	image/x-icon	date:Mon,%2021%20Sep%202020%2014:39:52%20GMT	http://www.scrapbuyerss.com/favicon.ico	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/favicon.ico	(from http://www.scrapbuyerss.com/)
20:32:45	121260/121260	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Sep%202020%2013:24:12%20GMT	http://www.scrapbuyerss.com/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/assets/bootstrap/css/bootstrap.min.css	(from http://www.scrapbuyerss.com/)
20:32:47	28758/28758	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Sep%202020%2013:24:18%20GMT	http://www.scrapbuyerss.com/assets/fonts/fontawesome/css/font-awesome.min.css	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/assets/fonts/fontawesome/css/font-awesome.min.css	(from http://www.scrapbuyerss.com/)
20:32:47	17864/17864	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Sep%202020%2013:24:20%20GMT	http://www.scrapbuyerss.com/assets/fonts/materia-icons/css/materia-icons.min.css	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/assets/fonts/materia-icons/css/materia-icons.min.css	(from http://www.scrapbuyerss.com/)
20:32:48	3864/3864	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Sep%202020%2013:24:14%20GMT	http://www.scrapbuyerss.com/assets/plugins/fancybox/jquery.fancybox.css	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/assets/plugins/fancybox/jquery.fancybox.css	(from http://www.scrapbuyerss.com/)
20:32:49	35422/35422	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Sep%202020%2013:24:24%20GMT	http://www.scrapbuyerss.com/assets/plugins/revolutionslider/css/settings.css	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/assets/plugins/revolutionslider/css/settings.css	(from http://www.scrapbuyerss.com/)
20:32:49	115205/115205	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Sep%202020%2013:24:24%20GMT	http://www.scrapbuyerss.com/assets/plugins/revolutionslider/css/layers.css	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/assets/plugins/revolutionslider/css/layers.css	(from http://www.scrapbuyerss.com/)
20:32:51	59567/59567	---M--	200	added ('OK')	text/css	date:Mon,%2021%20Sep%202020%2013:24:24%20GMT	http://www.scrapbuyerss.com/assets/plugins/revolutionslider/css/navigation.css	C:/My%20Web%20Sites/Test%20Site/www.scrapbuyerss.com/assets/plugins/revolutionslider/css/navigation.css	(from http://www.scrapbuyerss.com/)
